order_id,signal_id,ts_ms,market_id,token_id,side,signal_side,signal_type,edge,market_lag,game_time,intended_price,intended_size,filled,fill_price,fill_ts_ms,exit_bid_15s,pnl_15s,exit_bid_30s,pnl_30s,exit_bid_60s,pnl_60s,exit_bid_120s,pnl_120s,edge_bucket,minute_bucket
31,31,1778331643414,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331644678.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
32,32,1778331643939,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331644678.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
33,33,1778331645012,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331645422.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
34,34,1778331645538,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,7.5-10%,30-45
35,35,1778331646066,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.9,,0.89,,7.5-10%,30-45
36,36,1778331648721,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331649633.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
37,37,1778331649288,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331649633.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
38,38,1778331649815,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331650244.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
39,39,1778331650358,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331650572.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
40,40,1778331650889,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331652107.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
